"ap_compressor","timestamp","ap_compressorunit_gtn","bhp","enginestatus","fuelflow","intstatus","modelbhp","pressuredischarge","pressuresuction","rpm","tempsuction","id","flowrate"
Madras,2023-05-02 04:25:00.000,Unit1,0.0,Available,0.0,1,0.0,676.5567626953125,676.5567626953125,0.0,73.0,186237,0.0
Eastport,2023-05-02 04:25:00.000,Unit1,0.0,Available,0.26125454902648926,1,0.0,853.5725708007812,852.472900390625,0,58.29999923706055,186230,0.0
Kent,2023-05-02 04:25:00.000,Unit4,0.0,Available,0.0,1,0.0,614.6400756835938,614.688720703125,0.0,70.4000015258789,186236,0.0
Kent,2023-05-02 04:25:00.000,Unit3,16522.21875,Running,135.21009826660156,2,16524.530697005233,871.4332275390625,612.5486450195312,8283.75,67.5999984741211,186235,948.3176879882812
Madras,2023-05-02 04:30:00.000,Unit2,0.0,Available,0.0,1,0.0,765.18212890625,771.4285888671875,0.0,73.15287017822266,186268,0.0
Bonanza,2023-05-02 04:30:00.000,Unit1,0.0,Available,0.0,1,0.0,0.35667964816093445,0.29182878136634827,0.0,73.15174865722656,186256,0.0
Bend,2023-05-02 04:30:00.000,Unit2,12608.5478515625,Running,0.0,2,10561.936962211996,876.4849853515625,666.583984375,4526.11962890625,76.8786392211914,186254,863.9614868164062
Eastport,2023-05-02 04:30:00.000,Unit2,20631.83984375,Running,175.47569274902344,2,20491.95006185719,886.69580078125,733.36962890625,4647.8154296875,58.29999923706055,186261,2232.107666015625
Athol,2023-05-02 04:30:00.000,Unit4,9088.1552734375,Running,109.32774353027344,2,9582.903975556335,869.6497802734375,626.556396484375,7081.5,60.5,186252,490.3157043457031
Starbuck,2023-05-02 04:35:00.000,Unit3,21676.349609375,Running,199.42628479003906,2,21377.317133509023,838.150390625,713.1824951171875,4260.47607421875,73.0999984741211,186306,2316.991943359375
Madras,2023-05-02 04:35:00.000,Unit1,0.0,Available,0.0,1,0.0,676.1904907226562,676.1904907226562,0.0,73.0,186297,0.0
Athol,2023-05-02 04:35:00.000,Unit4,9060.2451171875,Running,109.04127502441406,2,9358.685183614014,868.3365478515625,628.501953125,7065.74951171875,60.5,186282,490.8089904785156
Eastport,2023-05-02 04:35:00.000,Unit2,20671.255859375,Running,175.47569274902344,2,20435.53240621269,886.215087890625,733.36962890625,4653.66455078125,58.099998474121094,186291,2217.578369140625
Bend,2023-05-02 04:35:00.000,Unit3,11690.876953125,Running,110.80902862548828,2,11592.671375750471,873.5084228515625,665.1751098632812,7262.99951171875,77.30000305175781,186285,862.5697631835938
Wallula,2023-05-02 04:35:00.000,Unit2,16572.70703125,Running,123.85075378417969,2,12962.331676993741,908.6251831054688,704.1668090820312,78.73775482177734,86.1186752319336,186309,1191.09814453125
Sandpoint,2023-05-02 04:35:00.000,Unit2,0.0,Available,0.0,1,0.0,399.4649658203125,399.12451171875,0.0,72.0999984741211,186303,0.0
Bend,2023-05-02 04:35:00.000,Unit1,0.0,Available,0.0,1,0.0,0.40522244572639465,0.4071807861328125,0.0,76.0289077758789,186283,0.0
Bonanza,2023-05-02 04:40:00.000,Unit2,14714.573627863114,Running,124.1451644897461,2,14714.573627863114,913.29443359375,746.3035278320312,7557.51416015625,71.62775421142578,186317,1511.9300537109375
Madras,2023-05-02 04:40:00.000,Unit1,0.0,Available,0.0,1,0.0,676.1904907226562,676.1904907226562,0.0,73.0,186327,0.0
Bend,2023-05-02 04:40:00.000,Unit2,12590.822265625,Running,0.0,2,10408.525046315575,876.2932739257812,667.3515625,4514.14794921875,76.8512954711914,186314,872.7986450195312
Madras,2023-05-02 04:40:00.000,Unit2,0.0,Available,0.0,1,0.0,766.3003540039062,772.893798828125,0.0,73.15287017822266,186328,0.0
Sandpoint,2023-05-02 04:40:00.000,Unit1,14555.7216796875,Running,126.5633773803711,2,13959.27909919464,834.3060913085938,727.269775390625,96.73103332519531,64.09986114501953,186332,1751.2967529296875
Stanfield,2023-05-02 04:40:00.000,Unit1,,Unavailable,0.0,0,0.0,769.0,767.0,0.0,65.0,186335,0.0
Chemult,2023-05-02 04:40:00.000,Unit4,0.0,Unavailable,0.0,0,0.0,1000.0,11.0,0.0,0.0,186319,0.0
Sandpoint,2023-05-02 04:40:00.000,Unit2,0.0,Available,0.0,1,0.0,398.4435729980469,398.1031188964844,0.0,72.0,186333,0.0
Wallula,2023-05-02 04:40:00.000,Unit2,16837.998046875,Running,127.1759033203125,2,12962.875927212284,907.328125,703.2749633789062,79.5901107788086,86.1186752319336,186339,1240.1810302734375
Kent,2023-05-02 04:40:00.000,Unit3,16467.869140625,Running,136.4392852783203,2,16314.722887006488,873.0869140625,613.651123046875,8276.25,67.5,186325,946.4219360351562
Rosalia,2023-05-02 04:40:00.000,Unit2,0.0,Unavailable,0,0,0.0,0.9612284898757935,0.6622166037559509,0.7707346677780151,69.01287078857422,186330,0.0
Kent,2023-05-02 04:40:00.000,Unit4,0.0,Available,0.0,1,0.0,615.0291748046875,614.0501098632812,0.0,70.0,186326,0.0
Ione,2023-05-02 04:45:00.000,Unit2,0.0,Available,0.0,1,0.0,0.0,0.3205128312110901,0.0,72.5,186353,0.0
Bend,2023-05-02 04:45:00.000,Unit3,11691.068359375,Running,110.58660125732422,2,11583.93695100028,873.605712890625,665.888427734375,7265.25,77.30000305175781,186345,869.0635986328125
Wallula,2023-05-02 04:45:00.000,Unit3,0.0,Available,0,1,0.0,705.6910400390625,709.2141723632812,0,73.95121765136719,186370,0.0
Sandpoint,2023-05-02 04:45:00.000,Unit1,14438.0400390625,Running,126.1191177368164,2,13935.953838593969,834.3060913085938,727.7236938476562,96.50237274169922,64.0999984741211,186362,1747.873779296875
Madras,2023-05-02 04:45:00.000,Unit2,0.0,Available,0.0,1,0.0,766.3003540039062,773.99267578125,0.0,73.15287017822266,186358,0.0
Rosalia,2023-05-02 04:45:00.000,Unit2,0.0,Unavailable,0.0,0,0.0,0.9587131142616272,0.6591649055480957,0.7150780558586121,69.03800964355469,186360,0.0
Madras,2023-05-02 04:45:00.000,Unit1,0.0,Available,0.0,1,0.0,676.1904907226562,676.1904907226562,0.0,73.99610137939453,186357,0.0
Wallula,2023-05-02 04:50:00.000,Unit2,16962.37109375,Running,126.64568328857422,2,14374.53543272686,908.38916015625,700.8541870117188,79.5901107788086,86.1186752319336,186399,1191.255615234375
Rosalia,2023-05-02 04:50:00.000,Unit3,16213.3984375,Running,125.28569030761719,2,15440.210147552689,914.3969116210938,718.6121826171875,7921.5,70.0999984741211,186391,1351.0980224609375
