"pipeline","station","unitnumber","unitname","compressor","horsepower","minflow","maxflow","compminspeed","compmaxspeed","pi_compressorunit"
GTN,Eastport,"3A",Avon,RFA36,15500,30.00,110.00,3250,5775,Unit1
GTN,Eastport,"3B",RB211,RFA36,35000,75.00,110.00,3250,5050,Unit2
GTN,Sandpoint,"4A",Titan SoloNox,C652,19500,30.00,70.00,3540,8856,Unit1
GTN,Sandpoint,"4B",Mars SoloNOX,C651,15000,30.00,60.00,4275,9500,Unit2
GTN,Sandpoint,"4C",Solar Mars,C601,14100,30.00,60.00,3900,9500,Unit3
GTN,Athol,"5B",Avon,RFA36,35000,30.00,110.00,3250,5250,Unit3
GTN,Athol,"5C",Titan SoloNOX,C652,24000,75.00,110.00,3630,8856,Unit4
GTN,Rosalia,"6A",Mars SoloNOX,C601,14600,30.00,60.00,3900,9500,Unit1
GTN,Rosalia,"6B",GE LM1500,CVP30,14200,30.00,70.00,2800,5250,Unit2
GTN,Rosalia,"6C",Titan SoloNOX,C652,19500,30.00,70.00,3540,8856,Unit3
GTN,Starbuck,"7B",Avon,RFA36,39700,30.00,110.00,3250,5250,Unit3
GTN,Starbuck,"7C",Titan SoloNOX,C652,24000,75.00,110.00,3250,8856,Unit4
GTN,Starbuck,"7E",Titan SoloNOX,C652,24000,75.00,110.00,3630,8856,Unit5
GTN,Wallula,"8A",Titan SoloNOX,C652,19500,30.00,70.00,3540,8856,Unit1
GTN,Wallula,"8B",Titan SoloNOX,"60PDI",17800,30.00,70.00,3630,8856,Unit2
GTN,Wallula,"8C",Avon,RFA36,14300,30.00,60.00,2800,5250,Unit3
GTN,Ione,"9A",Solar Mars,C601,14100,35.00,60.00,4275,9500,Unit1
GTN,Ione,"9B",Solar Mars,C601,14100,35.00,60.00,4275,9500,Unit2
GTN,Kent,"10A",Mars SoloNOX,RFA36,14100,30.00,60.00,3800,9500,Unit1
GTN,Kent,"10B",Avon,RFA36,19500,30.00,60.00,2800,5250,Unit3
GTN,Kent,"10C",Titan SoloNOX,C652,24000,75.00,110.00,3540,8856,Unit4
GTN,Madras,"11A",Mars SoloNOX,RFA36,15000,30.00,110.00,3900,5850,Unit1
GTN,Madras,"11B",Mars SoloNOX,RFA36,14100,30.00,110.00,3800,6825,Unit2
GTN,Bend,"12A",GE LM1600,RFA36,19200,30.00,65.00,5000,7000,Unit1
GTN,Bend,"12B",Avon,RFA36,14300,30.00,60.00,2800,5250,Unit2
GTN,Bend,"12C",Titan SoloNOX,C652,19500,30.00,70.00,3540,8856,Unit3
GTN,Chemult,"13C",Avon,RFA36,14300,30.00,110.00,3250,5250,Unit3
GTN,Chemult,"13D",Avon,RFA36,14300,30.00,110.00,3250,5250,Unit4
GTN,Bonanza,"14A",Mars SoloNox,"60PDI",14100,30.00,110.00,3900,9500,Unit1
GTN,Bonanza,"14B",Solar Titan SoloNOX,RFA36,19500,30.00,110.00,3600,7000,Unit2
