"assetnbr","assetabrv","flowdate","cycle_name","cycleseq","loc_id","loc_name","loc_sub_type","loc_qty_ind","location_purpose_desc","design_capacity","operational_capacity","scheduled_quantity","operational_available_capacity","flow_ind","it_ind","posting_date","import_time"
3,GTN,2025-10-17,INTRADAY 2,5,18505,STANFIELD CITY,InterConnect,DPQ,Delivery Location,3057,3057,0,3057,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,1388845,STANFIELD RECEIPT,InterConnect,RPQ,Receipt Location,249207,249207,81604,167603,R,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,21750,ATTALIA,InterConnect,DPQ,Delivery Location,50082,50082,6920,43162,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,217723,COYOTE 5,InterConnect,DPQ,Delivery Location,3842,3842,1600,2242,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,18446,Station 14 CFTP,Flow Through,SGQ,Pipeline Segment defined by 1 location,2268612,1716000,1687810,28190,BD,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,28203,SPOKANE CITY,InterConnect,DPQ,Delivery Location,67493,67493,12208,55285,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,21747,LYONS FERRY,InterConnect,DPQ,Delivery Location,5690,5690,0,5690,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,28247,LACROSSE,InterConnect,DPQ,Delivery Location,208,208,30,178,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,18440,CHEMULT,InterConnect,DPQ,Delivery Location,228,228,0,228,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,1402105,HARPOLD SALES METER,InterConnect,DPQ,Delivery Location,18087,18087,3820,14267,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,18437,GILCHRIST,InterConnect,DPQ,Delivery Location,1590,1590,0,1590,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,769368,SAGLE DELIVERY,InterConnect,DPQ,Delivery Location,5192,5192,40,5152,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,21749,THREEMILE RD DAIRY RECEIPT,InterConnect,RPQ,Receipt Location,4160,4160,1650,2510,R,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,198186,MOYIE SPRINGS,InterConnect,DPQ,Delivery Location,2077,2077,300,1777,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,18480,Station 9 CFTP,Flow Through,SGQ,Pipeline Segment defined by 1 location,2340000,2392000,1708671,683329,BD,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,217745,PALOUSE,InterConnect,DPQ,Delivery Location,69000,69000,11670,57330,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,21748,THREEMILE RD DAIRY DELIVERY,InterConnect,DPQ,Delivery Location,4160,4160,2892,1268,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,314578,CALPINE H.P.P,InterConnect,DPQ,Delivery Location,161984,161984,39989,121995,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,28201,SPOKANE NPC,InterConnect,DPQ,Delivery Location,311508,311508,138355,173153,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,217744,HERMISTON GENERATING,InterConnect,DPQ,Delivery Location,103836,150000,31887,118113,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,18503,STANFIELD DELIVERY,InterConnect,DPQ,Delivery Location,706085,706085,382292,323793,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,999999998,PAL NORTH -,Group,RPQ,Receipt Location,0,200000,4658,195342,R,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,3500,FLOW PAST KINGSGATE,Flow Through,SGQ,Pipeline Segment defined by 1 location,3043102,2600000,2486274,113726,BD,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,1389605,CHASE ROAD DELIVERY,InterConnect,DPQ,Delivery Location,16834,55120,7500,47620,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,18430,MADRAS,InterConnect,DPQ,Delivery Location,7021,7021,205,6816,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,954690,Station 6 CFTP,Flow Through,SGQ,Pipeline Segment defined by 1 location,2830527,2828800,2251408,577392,BD,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,3496,SANDPOINT,InterConnect,DPQ,Delivery Location,5192,5192,1200,3992,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,198185,CSBRR,InterConnect,DPQ,Delivery Location,3057,3057,499,2558,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,3503,BONNERS FERRY,InterConnect,DPQ,Delivery Location,1900,1900,200,1700,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
3,GTN,2025-10-17,INTRADAY 2,5,159304,SCHWEITZER,InterConnect,DPQ,Delivery Location,5192,5192,768,4424,D,"",2025-10-17 17:03:05.987,2025-10-17 22:58:10.000
