"ap_compressor","timestamp","ap_compressorunit_gtn","bhp","enginestatus"
GlenUllin_Unit01,2025-10-18 13:00:00.000,"6",0.0,R
Clark_Unit01,2025-10-18 13:00:00.000,"10",29165.14648438,R
LoneTree_Unit01,2025-10-18 13:00:00.000,"15",,A
Garvin_Unit01,2025-10-18 13:00:00.000,"12",28221.78710938,R
LaMoille_Unit01,2025-10-18 13:00:00.000,"17",1845.99255371,R
GrundyCenter_Unit01,2025-10-18 13:00:00.000,"14",-5.66363859,A
Trimont_Unit01,2025-10-18 13:00:00.000,"13",93.56423187,R
Manning_Unit01,2025-10-18 13:00:00.000,"5",23278.90625,R
StAnthony_Unit01,2025-10-18 13:00:00.000,"7",12.81701756,R
Glasgow_Unit01,2025-10-18 13:00:00.000,"1",1.0,U
Desplains_Unit01,2025-10-18 13:00:00.000,"18",0.0,U
Estelline_Unit01,2025-10-18 13:00:00.000,"11",28453.99023438,R
Culbertson_Unit01,2025-10-18 13:00:00.000,"3",0.0,U
Wetonka_Unit01,2025-10-18 13:00:00.000,"9",30898.62304688,R
Arnegard_Unit01,2025-10-18 13:00:00.000,"4",0.0,A
WolfPoint_Unit01,2025-10-18 13:00:00.000,"2",0.74141049,A
Eldridge_Unit01,2025-10-18 13:00:00.000,"16",-7.03839397,R
Zeeland_Unit01,2025-10-18 13:00:00.000,"8",12.81701756,R
Garvin_Unit01,2025-10-18 12:00:00.000,"12",28321.76367188,R
Estelline_Unit01,2025-10-18 12:00:00.000,"11",28624.88476563,R
Arnegard_Unit01,2025-10-18 12:00:00.000,"4",0.0,A
LoneTree_Unit01,2025-10-18 12:00:00.000,"15",,A
GlenUllin_Unit01,2025-10-18 12:00:00.000,"6",0.0,R
Clark_Unit01,2025-10-18 12:00:00.000,"10",29376.46875,R
Trimont_Unit01,2025-10-18 12:00:00.000,"13",102.53614044,R
Zeeland_Unit01,2025-10-18 12:00:00.000,"8",12.81701756,R
Eldridge_Unit01,2025-10-18 12:00:00.000,"16",-7.45419121,R
Culbertson_Unit01,2025-10-18 12:00:00.000,"3",0.0,U
LaMoille_Unit01,2025-10-18 12:00:00.000,"17",1924.23071289,R
GrundyCenter_Unit01,2025-10-18 12:00:00.000,"14",-5.59800863,A
Glasgow_Unit01,2025-10-18 12:00:00.000,"1",1.0,U
Desplains_Unit01,2025-10-18 12:00:00.000,"18",22937.90039063,U
Wetonka_Unit01,2025-10-18 12:00:00.000,"9",30994.75,R
WolfPoint_Unit01,2025-10-18 12:00:00.000,"2",0.74141049,A
Manning_Unit01,2025-10-18 12:00:00.000,"5",23173.80664063,R
StAnthony_Unit01,2025-10-18 12:00:00.000,"7",12.81701756,R
Desplains_Unit01,2025-10-18 11:00:00.000,"18",42597.75,U
LaMoille_Unit01,2025-10-18 11:00:00.000,"17",1985.37145996,R
Manning_Unit01,2025-10-18 11:00:00.000,"5",23121.8984375,R
Garvin_Unit01,2025-10-18 11:00:00.000,"12",28155.140625,R
Eldridge_Unit01,2025-10-18 11:00:00.000,"16",-7.0865674,R
Glasgow_Unit01,2025-10-18 11:00:00.000,"1",1.0,U
WolfPoint_Unit01,2025-10-18 11:00:00.000,"2",1.27122414,A
Trimont_Unit01,2025-10-18 11:00:00.000,"13",94.20507813,R
Wetonka_Unit01,2025-10-18 11:00:00.000,"9",30962.06835938,R
LoneTree_Unit01,2025-10-18 11:00:00.000,"15",,A
Estelline_Unit01,2025-10-18 11:00:00.000,"11",28859.14257813,R
GlenUllin_Unit01,2025-10-18 11:00:00.000,"6",0.0,R
StAnthony_Unit01,2025-10-18 11:00:00.000,"7",12.81701756,R
Arnegard_Unit01,2025-10-18 11:00:00.000,"4",0.0,A
GrundyCenter_Unit01,2025-10-18 11:00:00.000,"14",-5.71111774,A
Culbertson_Unit01,2025-10-18 11:00:00.000,"3",0.0,U
Zeeland_Unit01,2025-10-18 11:00:00.000,"8",12.81701756,R
Clark_Unit01,2025-10-18 11:00:00.000,"10",29322.09179688,R
GrundyCenter_Unit01,2025-10-18 10:00:00.000,"14",-5.71530437,A
Estelline_Unit01,2025-10-18 10:00:00.000,"11",28922.03320313,R
Glasgow_Unit01,2025-10-18 10:00:00.000,"1",1.0,U
WolfPoint_Unit01,2025-10-18 10:00:00.000,"2",0.74141049,A
LaMoille_Unit01,2025-10-18 10:00:00.000,"17",2092.23950195,R
Desplains_Unit01,2025-10-18 10:00:00.000,"18",22937.25,U
StAnthony_Unit01,2025-10-18 10:00:00.000,"7",12.81701756,R
Eldridge_Unit01,2025-10-18 10:00:00.000,"16",-6.9806757,R
Arnegard_Unit01,2025-10-18 10:00:00.000,"4",0.0,A
Zeeland_Unit01,2025-10-18 10:00:00.000,"8",12.81701756,R
Clark_Unit01,2025-10-18 10:00:00.000,"10",29286.37304688,R
Culbertson_Unit01,2025-10-18 10:00:00.000,"3",0.0,A
GlenUllin_Unit01,2025-10-18 10:00:00.000,"6",0.0,R
Wetonka_Unit01,2025-10-18 10:00:00.000,"9",30946.6875,R
Manning_Unit01,2025-10-18 10:00:00.000,"5",23087.29296875,R
LoneTree_Unit01,2025-10-18 10:00:00.000,"15",,A
Garvin_Unit01,2025-10-18 10:00:00.000,"12",28130.1484375,R
Trimont_Unit01,2025-10-18 10:00:00.000,"13",98.05017853,R
Wetonka_Unit01,2025-10-18 09:00:00.000,"9",30922.9765625,R
Trimont_Unit01,2025-10-18 09:00:00.000,"13",89.71911621,R
StAnthony_Unit01,2025-10-18 09:00:00.000,"7",12.81701756,R
Manning_Unit01,2025-10-18 09:00:00.000,"5",23093.06054688,R
Arnegard_Unit01,2025-10-18 09:00:00.000,"4",0.0,A
Desplains_Unit01,2025-10-18 09:00:00.000,"18",65535.0,U
