"assetnbr","assetabrv","flowdate","cycle_name","cycleseq","loc_id","loc_name","loc_sub_type","loc_qty_ind","location_purpose_desc","operational_capacity","scheduled_quantity","posting_date"
3029,NBPL,2025-10-17,INTRADAY 3,0,103750,Harper,Unknown,DPQ,Delivery Location,789116,152981,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,109732,Amana,Unknown,DPQ,Delivery Location,16530,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,109973,Watford City,Unknown,RPQ,Receipt Location,62040,30000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1109385,Kurtz,Unknown,RPQ,Receipt Location,416325,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1113226,Squaw Creek,Unknown,DPQ,Receipt Location,77334,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,112526,Beaman,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,112528,Tama,Unknown,DPQ,Delivery Location,890,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1132466,Deer Creek,Unknown,RPQ,Delivery Location,30000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,11936,Marshall,Unknown,RPQ,Delivery Location,3029,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,11958,Welcome,Unknown,RPQ,Delivery Location,78489,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,120859,Grundy Ctr,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1213159,Little Missouri,Unknown,RPQ,Receipt Location,20232,62950,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1231251,Princeton,Unknown,RPQ,Delivery Location,8749,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1251297,Stateline,Unknown,DPQ,Delivery Location,223010,-9990,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1251436,Spring Creek,Unknown,DPQ,Receipt Location,735119,-200,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1252291,Jeffers,Unknown,RPQ,Delivery Location,5372,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1293145,Lonesome Creek,Unknown,RPQ,Delivery Location,63542,-8222,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,13293,Port of Morgan,Unknown,DPQ,Receipt Location,392390,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,134641,Hebron,Unknown,DPQ,Delivery Location,61217,-30253,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,135698,Mina,Unknown,DPQ,Delivery Location,49783,3000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1367615,Hay Butte,Unknown,DPQ,Receipt Location,33872,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1387749,St Anthony ND,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1390266,LeClaire,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1394869,Roosevelt,Unknown,RPQ,Receipt Location,21500,35000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1395646,Hazel,Unknown,DPQ,Delivery Location,60000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1399965,Rawson,Unknown,RPQ,Receipt Location,159811,167200,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1401028,Marshalltown,Unknown,DPQ,Delivery Location,133450,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,1402285,Killdeer,Unknown,DPQ,Receipt Location,79000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,154809,Linton,Unknown,RPQ,Delivery Location,50,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,19589,Aberdeen,Unknown,DPQ,Delivery Location,31120,8998,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,211041,Balaton,Unknown,DPQ,Delivery Location,11220,9000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,216662,Saskana,Unknown,DPQ,Receipt Location,2500,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,216664,Warner,Unknown,RPQ,Delivery Location,13804,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,216669,Windom,Unknown,RPQ,Delivery Location,2782,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22611,Clinton,Unknown,DPQ,Delivery Location,161000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22612,Youngs Road,Unknown,RPQ,Receipt Location,130000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22613,Alexander,Unknown,RPQ,Receipt Location,39824,86968,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22615,Atalissa,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22616,Southeast Little Missouri,Unknown,DPQ,Receipt Location,137218,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22617,McGowan,Unknown,DPQ,Delivery Location,116217,73772,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22618,North Roosevelt,Unknown,RPQ,Receipt Location,58863,48137,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22619,South Watertown,Unknown,DPQ,Delivery Location,63092,1903,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22620,Astoria,Unknown,DPQ,Delivery Location,68500,6500,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22621,Jackson Gen East NBP,Unknown,DPQ,Delivery Location,192600,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22622,Outrigger WC,Unknown,RPQ,Receipt Location,232489,22000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22623,West Killdeer,Unknown,DPQ,Receipt Location,34000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22624,Elkhorn Creek,Unknown,RPQ,Receipt Location,435044,145622,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22627,Hay Butte Del,Unknown,DPQ,Delivery Location,14859,5141,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,22628,SIEVERS,Unknown,RPQ,Receipt Location,1048,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,227974,Iowa City,Unknown,DPQ,Delivery Location,52898,12117,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,227975,Minooka,Unknown,DPQ,Delivery Location,380400,24000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,227976,Davenport,Unknown,RPQ,Delivery Location,13000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,227979,Prophetstown,Unknown,DPQ,Delivery Location,102820,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,227980,Troy Grove,Unknown,RPQ,Delivery Location,151616,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,227981,Channahon,Unknown,RPQ,Receipt Location,170762,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,233632,Manhattan,Unknown,RPQ,Delivery Location,39507,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,246067,Will County,Unknown,DPQ,Delivery Location,272872,50195,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,250681,Tyler,Unknown,DPQ,Delivery Location,2911,455,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,251252,Watertown,Unknown,DPQ,Delivery Location,28914,385,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,274920,Wilton Center,Unknown,DPQ,Delivery Location,192090,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,282409,Joliet,Unknown,DPQ,Delivery Location,859350,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,283436,Elm Creek,Unknown,DPQ,Delivery Location,184540,53532,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,288195,Cordova,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,293700,North Hayden,Unknown,DPQ,Delivery Location,641903,148097,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,344425,Lakota,Unknown,DPQ,Delivery Location,9165,6000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,355832,Jackson Creek,Unknown,DPQ,Delivery Location,657150,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,367826,Martin County,Unknown,RPQ,Delivery Location,4200,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,368645,CEESI,Unknown,RPQ,Receipt Location,4044,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,369765,Brandt,Unknown,RPQ,Delivery Location,26483,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,378214,Manning,Unknown,DPQ,Delivery Location,190197,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,378215,Yale,Unknown,DPQ,Delivery Location,136087,6222,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,378216,Trimont,Unknown,DPQ,Delivery Location,39730,17430,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,394161,Slayton,Unknown,DPQ,Delivery Location,1664,248,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,429680,Ackley,Unknown,DPQ,Delivery Location,35308,6241,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,43726,Glen Ullin,Unknown,DPQ,Delivery Location,72499,-9713,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,463060,Zuma,Unknown,DPQ,Delivery Location,110000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,464805,Groton,Unknown,RPQ,Delivery Location,5000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,4680,Ventura,Unknown,RPQ,Delivery Location,1104080,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,472505,Elwood,Unknown,DPQ,Delivery Location,424620,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,473823,Noel,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,694495,Rutland,Unknown,RPQ,Delivery Location,987,-14013,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,694498,Davis,Unknown,DPQ,Delivery Location,11165,4000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,702628,Edmunds,Unknown,DPQ,Delivery Location,26000,9000,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,702631,Fraser,Unknown,RPQ,Delivery Location,10100,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,702634,Torrence,Unknown,DPQ,Delivery Location,269328,94632,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,71622,McGowan-Horizon,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,768093,Lanark,Unknown,RPQ,Delivery Location,20000,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,768099,Charbonneau,Unknown,DPQ,Delivery Location,91798,-14401,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,768106,Limited Use Long Point,Unknown,DPQ,Delivery Location,19242,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,769471,Des Plaines,Unknown,DPQ,Receipt Location,0,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,80456,Milbank,Unknown,DPQ,Delivery Location,4541,60,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,92252,Ivanhoe,Unknown,DPQ,Delivery Location,1811,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,92254,Webster,Unknown,DPQ,Delivery Location,5055,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,98993,Ledyard,Unknown,DPQ,Delivery Location,4044,0,"2025-10-17 21:59:17"
3029,NBPL,2025-10-17,INTRADAY 3,0,0,Flow Past La Moille,Unknown,SGQ,P/L Seg 1,347176,0,"2025-10-17 21:59:12"
3029,NBPL,2025-10-18,EVENING,0,22627,Hay Butte Del,Unknown,RPQ,Delivery Location,5541,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,98993,Ledyard,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,92254,Webster,Unknown,DPQ,Delivery Location,5055,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,92252,Ivanhoe,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,80456,Milbank,Unknown,DPQ,Delivery Location,4167,45,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,769471,Des Plaines,Unknown,DPQ,Receipt Location,0,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,768106,Limited Use Long Point,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,768099,Charbonneau,Unknown,RPQ,Receipt Location,107957,5000,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,768093,Lanark,Unknown,DPQ,Delivery Location,46276,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,71622,McGowan-Horizon,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,702634,Torrence,Unknown,RPQ,Delivery Location,105230,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,702631,Fraser,Unknown,DPQ,Delivery Location,11333,10100,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,702628,Edmunds,Unknown,RPQ,Delivery Location,9000,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,694498,Davis,Unknown,DPQ,Delivery Location,11165,4000,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,694495,Rutland,Unknown,DPQ,Delivery Location,13972,14154,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,473823,Noel,Unknown,DPQ,Delivery Location,624293,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,472505,Elwood,Unknown,DPQ,Delivery Location,424620,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,4680,Ventura,Unknown,RPQ,Delivery Location,1001668,-21437,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,464805,Groton,Unknown,DPQ,Delivery Location,51000,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,463060,Zuma,Unknown,DPQ,Delivery Location,110000,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,43726,Glen Ullin,Unknown,RPQ,Receipt Location,150754,14164,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,429680,Ackley,Unknown,DPQ,Delivery Location,35308,6241,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,394161,Slayton,Unknown,DPQ,Delivery Location,1664,248,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,378216,Trimont,Unknown,RPQ,Delivery Location,20893,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,378215,Yale,Unknown,DPQ,Delivery Location,116072,48329,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,378214,Manning,Unknown,DPQ,Delivery Location,185862,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,369765,Brandt,Unknown,RPQ,Delivery Location,26435,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,368645,CEESI,Unknown,DPQ,Delivery Location,4044,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,367826,Martin County,Unknown,DPQ,Delivery Location,5506,3700,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,355832,Jackson Creek,Unknown,DPQ,Delivery Location,657150,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,344425,Lakota,Unknown,DPQ,Delivery Location,9165,6000,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,293700,North Hayden,Unknown,DPQ,Delivery Location,639986,141358,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,288195,Cordova,Unknown,RPQ,Delivery Location,0,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,283436,Elm Creek,Unknown,RPQ,Delivery Location,61130,-48861,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,282409,Joliet,Unknown,DPQ,Delivery Location,851351,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,274920,Wilton Center,Unknown,RPQ,Delivery Location,11000,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,251252,Watertown,Unknown,RPQ,Delivery Location,385,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,250681,Tyler,Unknown,RPQ,Delivery Location,455,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,246067,Will County,Unknown,DPQ,Delivery Location,304720,123032,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,233632,Manhattan,Unknown,RPQ,Delivery Location,39507,0,"2025-10-17 20:58:58"
3029,NBPL,2025-10-18,EVENING,0,227981,Channahon,Unknown,RPQ,Receipt Location,225284,11212,"2025-10-17 20:58:58"
